@RELATION DADOS_DE_TESTE

@attribute x1 numeric

@attribute x2 numeric

@attribute x3 numeric

@attribute x4 numeric

@attribute x5 numeric

@attribute x6 numeric

@attribute class {0,1,2,3}



@data
0.144865,0.148879,0.14786,0.136722,0.139089,0.137496,1
0.143793,0.150503,0.145532,0.136692,0.139342,0.136914,1
0.143302,0.151691,0.143119,0.13699,0.139518,0.136339,1
0.143456,0.152326,0.140843,0.137511,0.139518,0.13588,1
0.144176,0.152288,0.138997,0.138032,0.139242,0.135703,1
0.145424,0.151491,0.137741,0.138446,0.13876,0.135696,1
0.147048,0.149944,0.137044,0.138813,0.138109,0.135734,1
0.148879,0.14786,0.136722,0.139089,0.137496,0.135788,1
0.150503,0.145532,0.136692,0.139342,0.136914,0.135803,1
0.151691,0.143119,0.13699,0.139518,0.136339,0.135811,1
0.152326,0.140843,0.137511,0.139518,0.13588,0.135826,1
0.152288,0.138997,0.138032,0.139242,0.135703,0.135795,1
0.151491,0.137741,0.138446,0.13876,0.135696,0.135719,1
0.149944,0.137044,0.138813,0.138109,0.135734,0.135634,1
0.14786,0.136722,0.139089,0.137496,0.135788,0.135512,1
0.145532,0.136692,0.139342,0.136914,0.135803,0.135405,1
0.143119,0.13699,0.139518,0.136339,0.135811,0.135328,1
0.140843,0.137511,0.139518,0.13588,0.135826,0.135313,1
0.138997,0.138032,0.139242,0.135703,0.135795,0.135336,1
0.137741,0.138446,0.13876,0.135696,0.135719,0.135374,1
0.137044,0.138813,0.138109,0.135734,0.135634,0.135374,1
0.136722,0.139089,0.137496,0.135788,0.135512,0.135313,1
0.136692,0.139342,0.136914,0.135803,0.135405,0.135182,1
0.13699,0.139518,0.136339,0.135811,0.135328,0.135022,1
0.137511,0.139518,0.13588,0.135826,0.135313,0.13483,0
0.138032,0.139242,0.135703,0.135795,0.135336,0.134639,0
0.138446,0.13876,0.135696,0.135719,0.135374,0.134056,0
0.138813,0.138109,0.135734,0.135634,0.135374,0.133283,0
0.139089,0.137496,0.135788,0.135512,0.135313,0.132356,0
0.139342,0.136914,0.135803,0.135405,0.135182,0.131375,0
0.139518,0.136339,0.135811,0.135328,0.135022,0.130441,0
0.139518,0.13588,0.135826,0.135313,0.13483,0.129575,0
0.139242,0.135703,0.135795,0.135336,0.134639,0.128725,0
0.13876,0.135696,0.135719,0.135374,0.134056,0.128235,0
0.138109,0.135734,0.135634,0.135374,0.133283,0.127928,0
0.137496,0.135788,0.135512,0.135313,0.132356,0.127813,0
0.136914,0.135803,0.135405,0.135182,0.131375,0.127829,0
0.136339,0.135811,0.135328,0.135022,0.130441,0.127882,0
0.13588,0.135826,0.135313,0.13483,0.129575,0.127966,0
0.135703,0.135795,0.135336,0.134639,0.128725,0.128058,0
0.135696,0.135719,0.135374,0.134056,0.128235,0.128166,0
0.135734,0.135634,0.135374,0.133283,0.127928,0.12825,0
0.135788,0.135512,0.135313,0.132356,0.127813,0.128495,0
0.135803,0.135405,0.135182,0.131375,0.127829,0.128671,0
0.135811,0.135328,0.135022,0.130441,0.127882,0.128763,0
0.135826,0.135313,0.13483,0.129575,0.127966,0.128755,0
0.135795,0.135336,0.134639,0.128725,0.128058,0.128748,0
0.135719,0.135374,0.134056,0.128235,0.128166,0.128794,0
0.135634,0.135374,0.133283,0.127928,0.12825,0.128924,0
0.135512,0.135313,0.132356,0.127813,0.128495,0.128878,0
0.135405,0.135182,0.131375,0.127829,0.128671,0.12884,0
0.135328,0.135022,0.130441,0.127882,0.128763,0.128809,0
0.135313,0.13483,0.129575,0.127966,0.128755,0.128794,0
0.135336,0.134639,0.128725,0.128058,0.128748,0.128748,0
0.135374,0.134056,0.128235,0.128166,0.128794,0.128671,0
0.135374,0.133283,0.127928,0.12825,0.128924,0.128572,0
0.135313,0.132356,0.127813,0.128495,0.128878,0.128503,0
0.135182,0.131375,0.127829,0.128671,0.12884,0.128487,0
0.135022,0.130441,0.127882,0.128763,0.128809,0.128503,0
0.13483,0.129575,0.127966,0.128755,0.128794,0.128533,0
0.134639,0.128725,0.128058,0.128748,0.128748,0.128595,0
0.134056,0.128235,0.128166,0.128794,0.128671,0.128686,0
0.133283,0.127928,0.12825,0.128924,0.128572,0.128817,0
0.132356,0.127813,0.128495,0.128878,0.128503,0.128939,0
