@relation PREVISAO-weka.filters.unsupervised.instance.RemovePercentage-P75.0-V

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute class numeric

@data
0.203727,0.188736,0.171117,0.163365,0.159351,0.157911,0.156394
0.202272,0.186047,0.169493,0.162714,0.158999,0.157689,0.15618
0.200311,0.183358,0.168137,0.162001,0.1587,0.157474,0.15595
0.19802,0.180478,0.166873,0.161488,0.158455,0.15729,0.155697
0.195921,0.177606,0.165893,0.160898,0.158355,0.15703,0.155513
0.193822,0.174924,0.165012,0.160301,0.15824,0.156869,0.155237
0.191425,0.172734,0.164223,0.159788,0.158095,0.156624,0.155053
0.188736,0.171117,0.163365,0.159351,0.157911,0.156394,0.15487
0.186047,0.169493,0.162714,0.158999,0.157689,0.15618,0.154601
0.183358,0.168137,0.162001,0.1587,0.157474,0.15595,0.154349
0.180478,0.166873,0.161488,0.158455,0.15729,0.155697,0.154111
0.177606,0.165893,0.160898,0.158355,0.15703,0.155513,0.153812
0.174924,0.165012,0.160301,0.15824,0.156869,0.155237,0.15359
0.172734,0.164223,0.159788,0.158095,0.156624,0.155053,0.153276
0.171117,0.163365,0.159351,0.157911,0.156394,0.15487,0.152863
0.169493,0.162714,0.158999,0.157689,0.15618,0.154601,0.15251
0.168137,0.162001,0.1587,0.157474,0.15595,0.154349,0.152219
0.166873,0.161488,0.158455,0.15729,0.155697,0.154111,0.151813
0.165893,0.160898,0.158355,0.15703,0.155513,0.153812,0.151392
0.165012,0.160301,0.15824,0.156869,0.155237,0.15359,0.150963
0.164223,0.159788,0.158095,0.156624,0.155053,0.153276,0.150519
0.163365,0.159351,0.157911,0.156394,0.15487,0.152863,0.150158
0.162714,0.158999,0.157689,0.15618,0.154601,0.15251,0.149737
0.162001,0.1587,0.157474,0.15595,0.154349,0.152219,0.149331
0.161488,0.158455,0.15729,0.155697,0.154111,0.151813,0.148933
0.160898,0.158355,0.15703,0.155513,0.153812,0.151392,0.148726
0.160301,0.15824,0.156869,0.155237,0.15359,0.150963,0.148527
0.159788,0.158095,0.156624,0.155053,0.153276,0.150519,0.148427
0.159351,0.157911,0.156394,0.15487,0.152863,0.150158,0.148328
0.158999,0.157689,0.15618,0.154601,0.15251,0.149737,0.148374
0.1587,0.157474,0.15595,0.154349,0.152219,0.149331,0.148504
0.158455,0.15729,0.155697,0.154111,0.151813,0.148933,0.148695
0.158355,0.15703,0.155513,0.153812,0.151392,0.148726,0.148772
0.15824,0.156869,0.155237,0.15359,0.150963,0.148527,0.14894
0.158095,0.156624,0.155053,0.153276,0.150519,0.148427,0.149117
0.157911,0.156394,0.15487,0.152863,0.150158,0.148328,0.149415
